Unnamed: 0,age,weight(kg),height(m),gender,BMI,BMR,activity_level,calories_to_maintain_weight,BMI_tags,Label
4048,11,36.22694165376395,1.4741286131461515,F,16.67097190427163,1201.681,1.3,1562.1853,7,1
20108,44,90.58930575788152,1.6308279497248095,F,34.061254517788726,1595.098,1.3,2073.6274,9,27
17994,36,80.61807560304736,1.6309876604378886,M,30.306171495593457,1741.161,1.2,2089.3932,9,27
17874,34,84.15288731037377,1.6312253629369335,M,31.62576871454228,1803.307,1.2,2163.9684,9,28
11163,23,62.24401466146798,1.6325947053200558,F,23.35290050055317,1421.984,1.3,1848.5792,8,16
9739,19,56.74752990037713,1.6314249976144188,F,21.32125367417789,1387.819,1.3,1804.1647,8,16
11793,25,60.40737695695406,1.6311155572579752,F,22.704948337335612,1394.7,1.3,1813.11,8,16
4289,12,40.216102014183306,1.537739115554238,M,17.007271726370778,1304.23,1.7,2217.191,7,5
21304,45,93.70964967461084,1.63121759776793,M,35.217661777896026,1859.431,1.5,2789.1465,9,31
20309,43,90.62643500370446,1.631332784730566,M,34.05412829705517,1830.849,1.2,2197.0188,9,28
5018,12,33.77061719465576,1.4245769159996962,M,16.64053145827349,1159.346,1.5,1739.019,7,2
7114,16,52.65012297117564,1.5911891735310817,F,20.79484844405637,1355.743,1.5,2033.6145,8,17
20410,44,91.975013420275,1.6331491394236246,M,34.484042137396095,1843.432,1.3,2396.4616,9,29
18394,41,86.46130090068047,1.632659756771386,F,32.436231372047736,1569.881,1.5,2354.8215,9,29
11305,23,62.28396250023914,1.6319087439257014,M,23.38753743801934,1578.845,1.5,2368.2675,8,19
6952,14,51.6113663866765,1.6118185854645857,F,19.866119272130675,1358.678,1.9,2581.4882,8,20
6031,15,48.92900625422152,1.62018333726001,F,18.639663706108667,1329.65,1.2,1595.5800000000002,8,15
2697,7,28.07288977995336,1.2522065092708834,F,17.903387288928016,1104.475,1.5,1656.7125,7,2
4675,11,37.86098540793421,1.5461170741446482,F,15.838248792783087,1229.605,1.5,1844.4075,7,3
22580,59,96.91590571803124,1.6315015897813248,M,36.40994778721753,1808.299,1.3,2350.7887,9,29
12064,28,67.34605941408553,1.6329308097704467,M,25.25670098144032,1614.706,1.3,2099.1178,9,27
12938,28,67.6373315715525,1.6331895905125204,F,25.35789849624094,1450.361,1.7,2465.6137000000003,9,30
10540,23,63.75928395554397,1.6315310445138005,F,23.952604706680177,1436.349,1.7,2441.7933,8,19
9859,21,57.72853942408023,1.632661832888388,M,21.65698965709292,1530.412,1.3,1989.5356,8,17
23857,76,95.316718271303,1.631233396357907,M,35.82093130861659,1670.656,1.5,2505.984,9,30
8717,18,57.23701552912406,1.6316268063816666,F,21.49984440351722,1397.252,1.7,2375.3284,8,19
6909,16,49.65481382076869,1.6059093956453987,F,19.25392517895607,1329.491,1.5,1994.2365,8,17
8510,20,57.84302069994127,1.6310037507887336,F,21.744080399354644,1393.564,1.9,2647.7716,8,20
5581,13,33.65518166947695,1.4353457120764723,M,16.335743542310826,1156.349,1.9,2197.0631,7,5
20330,42,93.24804502761948,1.6320031624839395,F,35.0104540761041,1630.222,1.2,1956.2664,9,26
6068,16,53.24770661403512,1.605067743827135,F,20.66874814532308,1363.839,1.9,2591.2941,8,20
15382,32,73.7328993489367,1.6310448958769916,F,27.715931586535262,1489.713,1.9,2830.4547,9,31
13449,27,67.98090811252538,1.6313309858094216,F,25.544816721961592,1458.043,1.9,2770.2816999999995,9,31
10745,22,61.37702623566072,1.6322437820504825,F,23.0375238049178,1418.301,1.7,2411.1117,8,19
6644,14,50.21908477194216,1.616256130289803,F,19.22420651960145,1346.067,1.5,2019.1005,8,17
15982,30,73.17704197970863,1.6311048284369822,M,27.50496543050826,1680.078,1.2,2016.0936,9,26
446,4,12.289552965267124,0.9614149267389268,F,13.29579665440541,917.62,1.9,1743.4779999999998,7,2
11451,24,60.64736478796407,1.631652167070621,M,22.78016003285163,1549.495,1.7,2634.1415,8,20
5507,11,39.03658955645781,1.5579819204403336,M,16.082258598150315,1304.992,1.9,2479.4848,7,7
17990,37,82.95335000402412,1.632498634738144,F,31.1263556828061,1554.977,1.3,2021.4701,9,26
8985,18,57.14768521693139,1.631809035821108,M,21.46149525431383,1542.428,1.9,2930.6132,8,22
7910,15,50.28293360319955,1.6077426854341024,F,19.453041913925563,1340.532,1.5,2010.798,8,17
480,4,16.212877610281403,0.8895637740463852,F,20.488300103251465,943.069,1.3,1225.9897,8,13
11408,24,61.085762568059806,1.6316643096164516,M,22.94448803753092,1555.507,1.3,2022.1591,8,17
14237,31,75.97319712976791,1.63194067031753,F,28.526708960338823,1516.073,1.2,1819.2876,9,25
2276,9,22.076459970075803,1.1692120180170429,F,16.148898048233246,1023.4,1.5,1535.1,7,0
4714,12,36.91049365164688,1.5223586411836032,F,15.926336966346634,1211.742,1.2,1454.0903999999998,7,0
20644,45,92.66378907264884,1.632255104077329,M,34.78035288813045,1845.621,1.3,2399.3073000000004,9,29
3560,7,26.17602961350191,1.2713957749323803,M,16.193556675436483,1012.709,1.5,1519.0635,7,0
7799,15,47.73451144842926,1.6083783874051572,M,18.45253444760569,1422.152,1.3,1848.7976,7,3
12769,27,68.11522066494263,1.6331391902013146,M,25.53864002403498,1632.148,1.2,1958.5776,9,26
12499,26,68.01576243507505,1.632042994426233,F,25.53561839095965,1463.199,1.5,2194.7985,9,28
9073,20,57.68239007152908,1.632666861002092,F,21.639543338141387,1392.304,1.9,2645.3776000000003,8,20
21426,44,94.05647723327353,1.632206121532925,M,35.30520227916182,1871.477,1.3,2432.9201000000003,9,29
2262,9,26.49634147585619,1.1796786696343171,M,19.03962799125851,957.639,1.3,1244.9307,8,13
18375,38,86.66704050417253,1.6312700779022589,F,32.56883518566454,1585.72,1.3,2061.436,9,27
2623,7,23.229400646419112,1.2951336534164626,M,13.848694266635093,984.21,1.7,1673.157,7,2
11290,22,61.30792416937494,1.6319269717714866,M,23.020522197566205,1572.282,1.5,2358.423,8,19
15335,32,73.04346123160242,1.6311302712939597,F,27.45390010949882,1483.109,1.5,2224.6635,9,28
7303,15,47.74630173604789,1.6010761971644274,M,18.62583435126395,1418.662,1.3,1844.2606,8,16
15504,33,73.56255392301136,1.6320178238021523,F,27.61893980463043,1483.544,1.2,1780.2528,9,25
8240,21,57.54526987358139,1.6327406540036495,F,21.586151369914955,1386.301,1.9,2633.9719,8,20
13446,27,66.92829843704801,1.631905113452184,M,25.13159065472856,1615.27,1.3,2099.851,9,27
4940,11,39.31394612866901,1.400019311202354,M,20.057582438926577,1229.811,1.5,1844.7165,8,16
21994,43,93.4826340167222,1.6320486196878687,F,35.09657654749439,1627.782,1.7,2767.2294,9,31
15126,32,77.13073607518052,1.632099490034631,F,28.95570995920983,1522.512,1.3,1979.2656,9,26
21443,44,90.7483251438842,1.6308083765805357,M,34.12186429150175,1825.456,1.3,2373.0928,9,29
